GO.ID	Term	Annotated	Significant	Expected	weightFisher	adjusted.p	q.value	ontology
GO:0044260	cellular macromolecule metabolic process	4075	776	782.64	0.000000053	0.000761822	0.000761822	BP
GO:0015833	peptide transport	1152	265	221.25	0.000000510	0.00733074	0.00366537	BP
GO:0044703	multi-organism reproductive process	1261	266	242.19	0.000003129	0.044976246	0.014992082	BP
GO:0071347	cellular response to interleukin-1	66	23	12.68	0.000009513	0.136739862	0.0341849655	BP
GO:0006886	intracellular protein transport	776	179	149.04	0.000020041	0.288069334	0.0576138668	BP
GO:0098657	import into cell	466	108	89.5	0.000029899	0.429768226	0.0716280376666667	BP
GO:0033572	transferrin transport	19	11	3.65	0.000042487	0.610708138	0.0872440197142857	BP
GO:0007298	border follicle cell migration	91	30	17.48	0.000061412	0.882736088	0.110342011	BP
GO:0045666	positive regulation of neuron differenti...	329	81	63.19	0.000069672	1	0.111273925333333	BP
GO:0002066	columnar/cuboidal epithelial cell develo...	278	76	53.39	0.00010	1	0.14374	BP
GO:0065008	regulation of biological quality	2590	524	497.43	0.00011	1	0.14374	BP
GO:0006888	endoplasmic reticulum to Golgi vesicle-m...	148	40	28.42	0.00020	1	0.239566666666667	BP
GO:0045807	positive regulation of endocytosis	137	38	26.31	0.00022	1	0.243252307692308	BP
GO:0030511	positive regulation of transforming grow...	29	13	5.57	0.00027	1	0.258732	BP
GO:0032482	Rab protein signal transduction	46	15	8.83	0.00027	1	0.258732	BP
GO:0003323	type B pancreatic cell development	20	10	3.84	0.00029	1	0.26052875	BP
GO:0006879	intracellular iron ion homeostasis	49	19	9.41	0.00038	1	0.321301176470588	BP
GO:0009267	cellular response to starvation	169	48	32.46	0.00042	1	0.335393333333333	BP
GO:0034446	substrate adhesion-dependent cell spread...	56	20	10.76	0.00046	1	0.348002105263158	BP
GO:0010770	positive regulation of cell morphogenesi...	153	42	29.39	0.00056	1	0.402472	BP
GO:1990182	exosomal secretion	19	9	3.65	0.00069	1	0.450820909090909	BP
GO:0043569	negative regulation of insulin-like grow...	4	4	0.77	0.00069	1	0.450820909090909	BP
GO:0007411	axon guidance	329	86	63.19	0.00073	1	0.456218260869565	BP
GO:0006605	protein targeting	286	71	54.93	0.00088	1	0.50309	BP
GO:0015988	energy coupled proton transmembrane tran...	18	9	3.46	0.00092	1	0.50309	BP
GO:0032879	regulation of localization	1632	352	313.44	0.00092	1	0.50309	BP
GO:0046664	dorsal closure, amnioserosa morphology c...	9	6	1.73	0.00098	1	0.50309	BP
GO:0006509	membrane protein ectodomain proteolysis	27	8	5.19	0.00098	1	0.50309	BP
GO:0005737	cytoplasm	6245	1239	1199.88	0.0000000000057	0.0000000096159	0.0000000096159	CC
GO:0016020	membrane	3419	704	656.91	0.0000000240046	0.0000404957602	0.0000135940709333333	CC
GO:0005829	cytosol	3140	609	603.3	0.0000000241744	0.0000407822128	0.0000135940709333333	CC
GO:0005789	endoplasmic reticulum membrane	591	151	113.55	0.0000056618572	0.0095515530964	0.00206271777572	CC
GO:0043025	neuronal cell body	496	110	95.3	0.0000061135678	0.0103135888786	0.00206271777572	CC
GO:0033181	plasma membrane proton-transporting V-ty...	11	8	2.11	0.0000500121655	0.0843705231985	0.0133034771982	CC
GO:0048471	perinuclear region of cytoplasm	502	119	96.45	0.0000552011502	0.0931243403874	0.0133034771982	CC
GO:0046540	U4/U6 x U5 tri-snRNP complex	23	12	4.42	0.0000764365510	0.128948461537	0.0148112287433444	CC
GO:0036513	Derlin-1 retrotranslocation complex	9	7	1.73	0.0000790166323	0.1333010586901	0.0148112287433444	CC
GO:0005793	endoplasmic reticulum-Golgi intermediate...	77	27	14.79	0.00013	0.21931	0.021931	CC
GO:0005688	U6 snRNP	8	6	1.54	0.00038	0.64106	0.0582781818181818	CC
GO:0030133	transport vesicle	278	83	53.41	0.00043	0.72541	0.0604508333333333	CC
GO:0031466	Cul5-RING ubiquitin ligase complex	4	4	0.77	0.00070	1	0.0908384615384615	CC
GO:0005747	mitochondrial respiratory chain complex ...	25	11	4.8	0.00098	1	0.11809	CC
GO:0046982	protein heterodimerization activity	293	76	56.78	0.000014	0.04872	0.04872	MF
GO:0005515	protein binding	4014	829	777.84	0.000035	0.1218	0.05568	MF
GO:0031625	ubiquitin protein ligase binding	254	66	49.22	0.000048	0.16704	0.05568	MF
GO:0042803	protein homodimerization activity	689	148	133.51	0.00014	0.4872	0.0928	MF
GO:0008137	NADH dehydrogenase (ubiquinone) activity	21	11	4.07	0.00015	0.522	0.0928	MF
GO:0003924	GTPase activity	144	41	27.9	0.00016	0.5568	0.0928	MF
GO:0019003	GDP binding	39	16	7.56	0.00021	0.7308	0.1044	MF
GO:0008553	P-type proton-exporting transporter acti...	8	6	1.55	0.00039	1	0.14268	MF
GO:0051087	chaperone binding	95	29	18.41	0.00040	1	0.14268	MF
GO:0019901	protein kinase binding	474	109	91.85	0.00041	1	0.14268	MF
GO:0051371	muscle alpha-actinin binding	4	4	0.78	0.00071	1	0.224618181818182	MF
